index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
93,100.0 to 100.75,11,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
94,101.0 to 101.75,11,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
95,102.0 to 102.75,11,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
96,103.0 to 103.625,11,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
97,104.0 to 104.5,16,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",2,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
98,105.0 to 105.875,3,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]",4,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
99,106.0 to 106.75,11,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
100,107.0 to 107.75,11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
101,108.0 to 108.75,11,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
102,109.0 to 109.875,11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
103,110.0 to 110.875,11,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
104,111.0 to 111.5,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
105,112.0 to 112.75,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
106,113.0 to 113.75,11,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
107,114.0 to 114.5,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
108,115.0 to 115.75,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
109,116.0 to 116.75,11,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
110,117.0 to 117.0,0,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
111,118.5 to 118.75,0,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",6,g#Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
112,119.0 to 119.75,11,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]",9,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
113,120.0 to 120.0,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
114,121.0 to 121.0,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
115,122.6666667 to 122.875,0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
116,123.0 to 123.25,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
117,124.0 to 124.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
118,125.0 to 125.875,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
119,126.0 to 126.875,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
120,127.5 to 127.5,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
121,128.0 to 128.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
122,129.0 to 129.875,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
123,130.0 to 130.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
124,131.0 to 131.875,0,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
