index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
118,121.0 to 121.75,0,"[0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
119,122.0 to 122.875,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
120,123.0 to 123.75,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
121,124.0 to 124.75,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
122,125.0 to 125.875,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
123,126.0 to 126.875,12,"[2, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0]",cMinor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
124,127.0 to 127.75,18,"[1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
125,128.0 to 128.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
126,129.0 to 129.75,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
127,130.0 to 130.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
