index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
524,530.0 to 530.75,3,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1]",gMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,5
525,531.0 to 531.75,10,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
526,532.0 to 532.75,12,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",cMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14,5
527,533.0 to 533.75,9,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,5
528,534.0 to 534.75,10,"[0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
529,535.0 to 535.6666667,10,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
530,536.0 to 536.6666667,11,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0,5
531,537.0 to 537.75,19,"[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
532,538.0 to 538.6666667000002,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15,5
533,539.0 to 539.6666667000002,2,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
