index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
108,111.0 to 111.875,11,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",6,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
109,112.0 to 112.875,11,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]",6,e-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
110,113.0 to 113.75,11,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",6,e-Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,iv_ofDmin,GBb-C#D,yellow,0
111,114.0 to 114.875,2,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
112,115.0 to 115.75,12,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
113,116.0 to 116.75,12,"[1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
114,117.0 to 117.875,12,"[2, 0, 1, 0, 2, 0, 1, 0, 1, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
115,118.0 to 118.875,12,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
116,119.0 to 119.875,14,"[0, 0, 2, 0, 3, 0, 0, 0, 1, 0, 0, 2]",7,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
117,120.0 to 120.875,12,"[2, 0, 1, 0, 2, 0, 1, 0, 1, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
118,121.0 to 121.875,12,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
119,122.0 to 122.875,14,"[0, 0, 2, 0, 3, 0, 0, 0, 1, 0, 0, 2]",7,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
120,123.0 to 123.875,7,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 0]",9,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
121,124.0 to 124.875,7,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1]",2,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
122,125.0 to 125.875,12,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
