index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
25,25.0 to 25.75,10,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
26,26.0 to 26.5,1,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
27,27.0 to 27.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
28,28.0 to 28.875,6,"[1, 0, 2, 0, 1, 2, 0, 1, 1, 1, 0, 0]",4,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
29,29.0 to 29.875,8,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
30,30.0 to 30.75,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
31,31.0 to 31.0,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
32,32.0 to 32.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
33,33.0 to 33.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
34,34.0 to 34.75,6,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]",5,b-Major,Piano Sonata K570 ii Eb major.mid by Mozart.csv
35,35.0 to 35.75,4,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
36,36.0 to 36.5,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
37,37.0 to 37.625,11,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",8,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
38,38.0 to 38.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",9,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
39,39.0 to 39.75,9,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
40,40.0 to 40.625,2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
41,41.0 to 41.75,11,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",3,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
