index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
111,111.0 to 111.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
112,112.0 to 112.6666667,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
113,113.0 to 113.6666667,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
114,114.0 to 114.6666667,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
115,115.0 to 115.6666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
116,116.0 to 116.6666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
117,117.0 to 117.6666667,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
118,118.0 to 118.6666667,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
119,119.0 to 119.6666667,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
120,120.0 to 120.6666667,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
