index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
109,112.0 to 112.75,18,"[1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11,2
110,113.0 to 113.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
111,114.0 to 114.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,2
112,115.0 to 115.5,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16,2
113,116.0 to 116.5,0,"[0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15,2
114,117.0 to 117.5,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3,2
115,118.0 to 118.5,11,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
116,119.0 to 119.5,4,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,2
117,120.0 to 120.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
118,121.0 to 121.75,0,"[0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15,2
119,122.0 to 122.875,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
120,123.0 to 123.75,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
121,124.0 to 124.75,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17,2
122,125.0 to 125.875,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
123,126.0 to 126.875,12,"[2, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0]",cMinor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14,2
124,127.0 to 127.75,18,"[1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11,2
